layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.525,0.5876562499999999,0.8311688311688312,False
1,0.515625,0.5876562499999999,0.949050949050949,False
2,0.496875,0.5876562499999999,1.0,False
3,0.515625,0.5876562499999999,0.949050949050949,False
4,0.53125,0.5876562499999999,0.7392607392607392,False
5,0.521875,0.5876562499999999,0.8681318681318682,False
6,0.640625,0.5876562499999999,0.001998001998001998,True
7,0.765625,0.5876562499999999,0.000999000999000999,True
8,0.7625,0.5876562499999999,0.000999000999000999,True
9,0.778125,0.5876562499999999,0.000999000999000999,True
10,0.775,0.5876562499999999,0.000999000999000999,True
11,0.80625,0.5876562499999999,0.000999000999000999,True
12,0.8,0.5876562499999999,0.000999000999000999,True
13,0.7875,0.5876562499999999,0.000999000999000999,True
14,0.875,0.5876562499999999,0.000999000999000999,True
15,0.875,0.5876562499999999,0.000999000999000999,True
16,0.875,0.5876562499999999,0.000999000999000999,True
17,0.90625,0.5876562499999999,0.000999000999000999,True
18,0.925,0.5876562499999999,0.000999000999000999,True
19,0.921875,0.5876562499999999,0.000999000999000999,True
20,0.915625,0.5876562499999999,0.000999000999000999,True
21,0.946875,0.5876562499999999,0.000999000999000999,True
22,0.940625,0.5876562499999999,0.000999000999000999,True
23,0.946875,0.5876562499999999,0.000999000999000999,True
24,0.959375,0.5876562499999999,0.000999000999000999,True
25,0.9625,0.5876562499999999,0.000999000999000999,True
26,0.95625,0.5876562499999999,0.000999000999000999,True
27,0.953125,0.5876562499999999,0.000999000999000999,True
28,0.946875,0.5876562499999999,0.000999000999000999,True
29,0.959375,0.5876562499999999,0.000999000999000999,True
30,0.95,0.5876562499999999,0.000999000999000999,True
31,0.953125,0.5876562499999999,0.000999000999000999,True
32,0.95,0.5876562499999999,0.000999000999000999,True
33,0.953125,0.5876562499999999,0.000999000999000999,True
34,0.959375,0.5876562499999999,0.000999000999000999,True
35,0.953125,0.5876562499999999,0.000999000999000999,True
36,0.953125,0.5876562499999999,0.000999000999000999,True
37,0.95,0.5876562499999999,0.000999000999000999,True
38,0.946875,0.5876562499999999,0.000999000999000999,True
39,0.946875,0.5876562499999999,0.000999000999000999,True
40,0.95,0.5876562499999999,0.000999000999000999,True
41,0.95,0.5876562499999999,0.000999000999000999,True
42,0.946875,0.5876562499999999,0.000999000999000999,True
43,0.946875,0.5876562499999999,0.000999000999000999,True
44,0.95,0.5876562499999999,0.000999000999000999,True
45,0.95625,0.5876562499999999,0.000999000999000999,True
46,0.95625,0.5876562499999999,0.000999000999000999,True
47,0.95625,0.5876562499999999,0.000999000999000999,True
48,0.95,0.5876562499999999,0.000999000999000999,True
49,0.95625,0.5876562499999999,0.000999000999000999,True
50,0.959375,0.5876562499999999,0.000999000999000999,True
51,0.959375,0.5876562499999999,0.000999000999000999,True
52,0.95,0.5876562499999999,0.000999000999000999,True
53,0.946875,0.5876562499999999,0.000999000999000999,True
54,0.9375,0.5876562499999999,0.000999000999000999,True
55,0.93125,0.5876562499999999,0.000999000999000999,True
56,0.93125,0.5876562499999999,0.000999000999000999,True
57,0.91875,0.5876562499999999,0.000999000999000999,True
58,0.90625,0.5876562499999999,0.000999000999000999,True
59,0.89375,0.5876562499999999,0.000999000999000999,True
60,0.89375,0.5876562499999999,0.000999000999000999,True
61,0.871875,0.5876562499999999,0.000999000999000999,True
