layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.609375,0.63125,0.5875
1,0.596875,0.61875,0.575
2,0.59375,0.6,0.5875
3,0.6,0.5625,0.6375
4,0.61875,0.5875,0.65
5,0.603125,0.59375,0.6125
6,0.709375,0.7375,0.68125
7,0.75625,0.74375,0.76875
8,0.75625,0.75625,0.75625
9,0.740625,0.73125,0.75
10,0.778125,0.76875,0.7875
11,0.771875,0.76875,0.775
12,0.775,0.7625,0.7875
13,0.76875,0.775,0.7625
14,0.78125,0.79375,0.76875
15,0.8,0.775,0.825
16,0.81875,0.7875,0.85
17,0.846875,0.83125,0.8625
18,0.85,0.8625,0.8375
19,0.86875,0.8875,0.85
20,0.875,0.89375,0.85625
21,0.896875,0.9125,0.88125
22,0.909375,0.95,0.86875
23,0.8875,0.90625,0.86875
24,0.875,0.9,0.85
25,0.921875,0.93125,0.9125
26,0.946875,0.95,0.94375
27,0.934375,0.94375,0.925
28,0.934375,0.925,0.94375
29,0.93125,0.93125,0.93125
30,0.928125,0.93125,0.925
31,0.925,0.93125,0.91875
32,0.91875,0.9125,0.925
33,0.909375,0.89375,0.925
34,0.93125,0.925,0.9375
35,0.934375,0.925,0.94375
36,0.95625,0.95625,0.95625
37,0.95,0.9625,0.9375
38,0.946875,0.95625,0.9375
39,0.95,0.95625,0.94375
40,0.94375,0.95,0.9375
41,0.9625,0.9625,0.9625
42,0.965625,0.96875,0.9625
43,0.959375,0.9625,0.95625
44,0.959375,0.95625,0.9625
45,0.95625,0.9625,0.95
46,0.95625,0.95625,0.95625
47,0.95,0.95,0.95
48,0.940625,0.94375,0.9375
49,0.95,0.93125,0.96875
50,0.9375,0.93125,0.94375
51,0.934375,0.925,0.94375
52,0.903125,0.9,0.90625
53,0.89375,0.8875,0.9
54,0.890625,0.89375,0.8875
55,0.86875,0.88125,0.85625
56,0.8625,0.88125,0.84375
57,0.8625,0.8875,0.8375
58,0.86875,0.89375,0.84375
59,0.878125,0.8875,0.86875
60,0.871875,0.9,0.84375
61,0.85625,0.8875,0.825
62,0.834375,0.85,0.81875
63,0.809375,0.81875,0.8
