layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.521875,0.54375,0.5
1,0.6125,0.61875,0.60625
2,0.646875,0.63125,0.6625
3,0.628125,0.63125,0.625
4,0.65,0.65,0.65
5,0.734375,0.74375,0.725
6,0.828125,0.78125,0.875
7,0.83125,0.7875,0.875
8,0.859375,0.8375,0.88125
9,0.8375,0.81875,0.85625
10,0.896875,0.89375,0.9
11,0.903125,0.925,0.88125
12,0.90625,0.91875,0.89375
13,0.903125,0.9125,0.89375
14,0.884375,0.86875,0.9
15,0.878125,0.875,0.88125
16,0.865625,0.86875,0.8625
17,0.8625,0.8625,0.8625
18,0.865625,0.86875,0.8625
19,0.846875,0.84375,0.85
20,0.828125,0.8375,0.81875
21,0.834375,0.83125,0.8375
22,0.821875,0.84375,0.8
23,0.7875,0.7875,0.7875
