seed,max_accuracy
0,0.525
1,0.53125
2,0.534375
3,0.51875
4,0.534375
5,0.51875
6,0.521875
7,0.515625
8,0.590625
9,0.578125
10,0.540625
11,0.565625
12,0.5625
13,0.515625
14,0.525
15,0.5625
16,0.540625
17,0.55
18,0.55
19,0.521875
20,0.615625
21,0.540625
22,0.534375
23,0.55625
24,0.515625
25,0.53125
26,0.534375
27,0.54375
28,0.565625
29,0.528125
30,0.53125
31,0.546875
32,0.503125
33,0.53125
34,0.5125
35,0.575
36,0.525
37,0.5
38,0.6
39,0.5125
40,0.521875
41,0.5625
42,0.509375
43,0.534375
44,0.540625
45,0.571875
46,0.540625
47,0.509375
48,0.54375
49,0.51875
50,0.50625
51,0.55625
52,0.540625
53,0.534375
54,0.55625
55,0.5125
56,0.55
57,0.509375
58,0.559375
59,0.50625
60,0.5125
61,0.55625
62,0.509375
63,0.54375
64,0.546875
65,0.5125
66,0.546875
67,0.54375
68,0.571875
69,0.628125
70,0.55
71,0.5125
72,0.53125
73,0.53125
74,0.584375
75,0.546875
76,0.546875
77,0.51875
78,0.521875
79,0.51875
80,0.50625
81,0.509375
82,0.51875
83,0.515625
84,0.53125
85,0.584375
86,0.509375
87,0.553125
88,0.515625
89,0.553125
90,0.55625
91,0.559375
92,0.525
93,0.54375
94,0.565625
95,0.515625
96,0.515625
97,0.503125
98,0.515625
99,0.5375
100,0.5625
101,0.571875
102,0.51875
103,0.575
104,0.5125
105,0.55625
106,0.528125
107,0.553125
108,0.559375
109,0.534375
110,0.534375
111,0.515625
112,0.525
113,0.534375
114,0.56875
115,0.525
116,0.51875
117,0.509375
118,0.521875
119,0.55625
120,0.50625
121,0.515625
122,0.521875
123,0.521875
124,0.55
125,0.503125
126,0.5125
127,0.521875
128,0.515625
129,0.546875
130,0.521875
131,0.534375
132,0.5375
133,0.571875
134,0.546875
135,0.5375
136,0.5875
137,0.540625
138,0.54375
139,0.55
140,0.5375
141,0.5375
142,0.565625
143,0.525
144,0.540625
145,0.50625
146,0.578125
147,0.55
148,0.56875
149,0.53125
150,0.51875
151,0.5375
152,0.578125
153,0.540625
154,0.515625
155,0.56875
156,0.51875
157,0.528125
158,0.525
159,0.55
160,0.55625
161,0.55625
162,0.525
163,0.56875
164,0.528125
165,0.546875
166,0.5375
167,0.515625
168,0.51875
169,0.509375
170,0.515625
171,0.5375
172,0.546875
173,0.540625
174,0.515625
175,0.55
176,0.55625
177,0.540625
178,0.5125
179,0.509375
180,0.528125
181,0.553125
182,0.51875
183,0.55
184,0.56875
185,0.5125
186,0.559375
187,0.51875
188,0.53125
189,0.540625
190,0.534375
191,0.534375
192,0.53125
193,0.525
194,0.578125
195,0.53125
196,0.525
197,0.559375
198,0.540625
199,0.5875
200,0.5625
201,0.509375
202,0.528125
203,0.528125
204,0.55625
205,0.509375
206,0.58125
207,0.521875
208,0.559375
209,0.578125
210,0.503125
211,0.55
212,0.521875
213,0.56875
214,0.515625
215,0.521875
216,0.534375
217,0.54375
218,0.54375
219,0.540625
220,0.515625
221,0.528125
222,0.55625
223,0.521875
224,0.553125
225,0.54375
226,0.546875
227,0.515625
228,0.56875
229,0.615625
230,0.553125
231,0.509375
232,0.575
233,0.53125
234,0.540625
235,0.5
236,0.546875
237,0.528125
238,0.5
239,0.54375
240,0.503125
241,0.51875
242,0.546875
243,0.509375
244,0.546875
245,0.51875
246,0.53125
247,0.53125
248,0.5375
249,0.53125
250,0.553125
251,0.5
252,0.5375
253,0.578125
254,0.53125
255,0.56875
256,0.515625
257,0.521875
258,0.53125
259,0.55
260,0.575
261,0.565625
262,0.55625
263,0.590625
264,0.540625
265,0.55
266,0.509375
267,0.51875
268,0.634375
269,0.540625
270,0.56875
271,0.515625
272,0.528125
273,0.578125
274,0.584375
275,0.54375
276,0.5375
277,0.51875
278,0.528125
279,0.5625
280,0.51875
281,0.50625
282,0.528125
283,0.553125
284,0.534375
285,0.559375
286,0.56875
287,0.53125
288,0.51875
289,0.58125
290,0.528125
291,0.521875
292,0.496875
293,0.5375
294,0.53125
295,0.525
296,0.525
297,0.50625
298,0.528125
299,0.540625
300,0.571875
301,0.509375
302,0.53125
303,0.578125
304,0.58125
305,0.534375
306,0.534375
307,0.53125
308,0.509375
309,0.54375
310,0.525
311,0.621875
312,0.51875
313,0.528125
314,0.525
315,0.609375
316,0.528125
317,0.58125
318,0.509375
319,0.56875
320,0.596875
321,0.521875
322,0.534375
323,0.525
324,0.534375
325,0.50625
326,0.528125
327,0.51875
328,0.54375
329,0.521875
330,0.528125
331,0.521875
332,0.54375
333,0.559375
334,0.5125
335,0.590625
336,0.53125
337,0.503125
338,0.53125
339,0.51875
340,0.55
341,0.56875
342,0.5125
343,0.575
344,0.5375
345,0.54375
346,0.553125
347,0.525
348,0.546875
349,0.575
350,0.53125
351,0.515625
352,0.528125
353,0.565625
354,0.56875
355,0.509375
356,0.50625
357,0.503125
358,0.6
359,0.50625
360,0.528125
361,0.553125
362,0.534375
363,0.53125
364,0.55
365,0.503125
366,0.534375
367,0.578125
368,0.58125
369,0.559375
