layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.534375,0.54375,0.525
1,0.5375,0.51875,0.55625
2,0.54375,0.5125,0.575
3,0.603125,0.58125,0.625
4,0.703125,0.6625,0.74375
5,0.684375,0.66875,0.7
6,0.746875,0.7375,0.75625
7,0.74375,0.70625,0.78125
8,0.765625,0.7625,0.76875
9,0.746875,0.74375,0.75
10,0.75,0.74375,0.75625
11,0.74375,0.74375,0.74375
12,0.765625,0.76875,0.7625
13,0.771875,0.775,0.76875
14,0.775,0.80625,0.74375
15,0.784375,0.8125,0.75625
16,0.840625,0.85625,0.825
17,0.871875,0.86875,0.875
18,0.925,0.93125,0.91875
19,0.934375,0.94375,0.925
20,0.921875,0.94375,0.9
21,0.91875,0.93125,0.90625
22,0.925,0.94375,0.90625
23,0.921875,0.9375,0.90625
24,0.91875,0.925,0.9125
25,0.9125,0.9125,0.9125
26,0.90625,0.90625,0.90625
27,0.909375,0.90625,0.9125
28,0.9125,0.90625,0.91875
29,0.9125,0.9125,0.9125
30,0.9125,0.9125,0.9125
31,0.9,0.89375,0.90625
32,0.896875,0.89375,0.9
33,0.8875,0.88125,0.89375
34,0.9,0.9,0.9
35,0.890625,0.875,0.90625
36,0.90625,0.90625,0.90625
37,0.921875,0.93125,0.9125
38,0.915625,0.91875,0.9125
39,0.915625,0.9125,0.91875
40,0.928125,0.93125,0.925
41,0.93125,0.93125,0.93125
42,0.965625,0.9625,0.96875
43,0.96875,0.96875,0.96875
44,0.971875,0.975,0.96875
45,0.975,0.975,0.975
46,0.971875,0.975,0.96875
47,0.965625,0.975,0.95625
48,0.965625,0.975,0.95625
49,0.971875,0.975,0.96875
50,0.9625,0.9625,0.9625
51,0.959375,0.95625,0.9625
52,0.95625,0.9625,0.95
53,0.959375,0.9625,0.95625
54,0.9625,0.9625,0.9625
55,0.959375,0.9625,0.95625
56,0.953125,0.9625,0.94375
57,0.953125,0.9625,0.94375
58,0.953125,0.9625,0.94375
59,0.95625,0.9625,0.95
60,0.953125,0.95625,0.95
61,0.946875,0.9375,0.95625
62,0.91875,0.90625,0.93125
63,0.88125,0.8625,0.9
