layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.6446259998052597,0.1116444095564374,7.744776340254188e-09,8.340528366427586e-09,True
1,0.5801067916792452,0.10895048947372181,1.012315597506918e-07,1.012315597506918e-07,True
2,0.6542362104790922,0.11835471528200912,3.2434924851201535e-08,3.3636218364209e-08,True
3,0.9848550077512268,0.08466181483569092,2.8069454467559325e-31,3.143778900366644e-31,True
4,1.0821757701675345,0.06950974105709588,1.1881147232196942e-54,1.38613384375631e-54,True
5,1.2149161338843508,0.048733444416813446,3.53483459525754e-137,4.303276898574397e-137,True
6,1.2628296345728716,0.04991141576677444,3.081427303228744e-141,3.9218165677456743e-141,True
7,1.2612425181460933,0.045560132408077506,1.1177362671062298e-168,1.4903150228083065e-168,True
8,1.3114005811384806,0.03752901138647667,1.6170288669943686e-267,2.382989909254859e-267,True
9,1.3342220554888091,0.03692463795858166,6.720188819058377e-286,1.1068546290213797e-285,True
10,1.3460164728632593,0.03872460940415945,1.0246495703410722e-264,1.434509398477501e-264,True
11,1.3710009615355276,0.03490830045460811,0.0,0.0,True
12,1.365473827554649,0.03299163749654832,0.0,0.0,True
13,1.371754474987791,0.033340974868101045,0.0,0.0,True
14,1.3633881841044664,0.03010486513546697,0.0,0.0,True
15,1.3697779153363947,0.02732795598070497,0.0,0.0,True
16,1.3719940907982302,0.02641182381303938,0.0,0.0,True
17,1.365846635932503,0.025400670389610927,0.0,0.0,True
18,1.3614238880477334,0.0260131070804072,0.0,0.0,True
19,1.3656119331534815,0.025304740514329814,0.0,0.0,True
20,1.3619150056807945,0.026755234586753926,0.0,0.0,True
21,1.3664073743061975,0.026475346530981905,0.0,0.0,True
22,1.3753818144863685,0.028941280675803375,0.0,0.0,True
23,1.3773847732248976,0.030344590326291023,0.0,0.0,True
24,1.3802167166783352,0.03218846687162592,0.0,0.0,True
25,1.3650733997613256,0.03358444240999478,0.0,0.0,True
26,1.3724712705865634,0.03431323252944416,0.0,0.0,True
27,1.3692422991039566,0.03840192899805993,1.9322408853268575e-278,3.005708043841778e-278,True
