layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.584375,0.58125,0.5875
1,0.56875,0.56875,0.56875
2,0.578125,0.53125,0.625
3,0.671875,0.66875,0.675
4,0.6875,0.66875,0.70625
5,0.809375,0.76875,0.85
6,0.8125,0.80625,0.81875
7,0.825,0.8,0.85
8,0.878125,0.88125,0.875
9,0.91875,0.9125,0.925
10,0.89375,0.89375,0.89375
11,0.878125,0.90625,0.85
12,0.909375,0.9125,0.90625
13,0.90625,0.9,0.9125
14,0.928125,0.93125,0.925
15,0.95,0.95625,0.94375
16,0.95625,0.9625,0.95
17,0.95,0.94375,0.95625
18,0.94375,0.9375,0.95
19,0.934375,0.91875,0.95
20,0.921875,0.90625,0.9375
21,0.928125,0.91875,0.9375
22,0.909375,0.9,0.91875
23,0.896875,0.8875,0.90625
24,0.8625,0.84375,0.88125
25,0.85625,0.8625,0.85
26,0.834375,0.85,0.81875
27,0.828125,0.84375,0.8125
