layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.7639325615847292,0.08078553350686736,3.190205218349387e-21,3.2580819251227783e-21,True
1,0.7841939564880618,0.08146431547751487,6.196320730609401e-22,6.465725979766332e-22,True
2,0.8233564513039082,0.09008239754738252,6.24309366200598e-20,6.24309366200598e-20,True
3,0.9275891489098462,0.09474506760001851,1.2384340150099532e-22,1.3209962826772835e-22,True
4,0.9386451907088311,0.09167610305910767,1.3299542717651602e-24,1.4846001173192485e-24,True
5,0.9724773237217932,0.09721733102636029,1.476590987460728e-23,1.6108265317753397e-23,True
6,1.0251727205679941,0.07246657712868666,1.9535315004610323e-45,2.2326074290983227e-45,True
7,1.1738890204962682,0.05510178210144523,1.042029379611354e-100,1.282497697983205e-100,True
8,1.168094998356381,0.05725977377745058,1.674777359980326e-92,1.9607149580257477e-92,True
9,1.1656713258147002,0.055244996637318196,7.947839216101484e-99,9.53740705932178e-99,True
10,1.2274594924276447,0.04911225426497541,7.295850382936545e-138,9.464886983269031e-138,True
11,1.2205005576778372,0.0484986623596975,9.525738337472042e-140,1.2700984449962722e-139,True
12,1.2172337601464482,0.04802167870580632,9.553729312744935e-142,1.3102257343193055e-141,True
13,1.2391589760615904,0.04559030000116831,1.1098601842207685e-162,1.5668614365469673e-162,True
14,1.2292943379412713,0.05191541993706957,5.9646575088735865e-124,7.534304221735057e-124,True
15,1.3147273450548622,0.04306799609612018,1.1498957127106821e-204,1.6725755821246283e-204,True
16,1.3312510993194087,0.04178856747161499,1.0588687701987252e-222,1.6395387409528648e-222,True
17,1.3276426449619374,0.03892683258197913,5.988668336363548e-255,1.0266288576623225e-254,True
18,1.341226139372342,0.03690139240439189,3.014964535052907e-289,5.566088372405367e-289,True
19,1.3514591629396735,0.0333458238836539,0.0,0.0,True
20,1.354384813428552,0.03348617245898498,0.0,0.0,True
21,1.346405565780528,0.03144533437665323,0.0,0.0,True
22,1.3468667661336262,0.03185944132340672,0.0,0.0,True
23,1.3458486242339809,0.031259880080821166,0.0,0.0,True
24,1.346734780177644,0.031553294381640014,0.0,0.0,True
25,1.3560971723801005,0.027838661517643117,0.0,0.0,True
26,1.3592217392249033,0.027162074121232633,0.0,0.0,True
27,1.3621188412635115,0.026379439414050382,0.0,0.0,True
28,1.3620688596956887,0.02576153140133299,0.0,0.0,True
29,1.3611966991079583,0.02664118127669002,0.0,0.0,True
30,1.3646635059362036,0.02737934067006877,0.0,0.0,True
31,1.3619883099312111,0.02654414592883172,0.0,0.0,True
32,1.3579988299844743,0.02693571139656164,0.0,0.0,True
33,1.3537877600362216,0.026996750594641166,0.0,0.0,True
34,1.3514339895077494,0.028557395551484274,0.0,0.0,True
35,1.357440485156882,0.03019515769061262,0.0,0.0,True
36,1.3582507770603167,0.03149381075675559,0.0,0.0,True
37,1.3621483537895698,0.032618936432368274,0.0,0.0,True
38,1.3651596942423962,0.03243140004507377,0.0,0.0,True
39,1.3676488562705735,0.031717840059135395,0.0,0.0,True
40,1.3734226444286417,0.033170652033815536,0.0,0.0,True
41,1.3778476828498976,0.03379612572274547,0.0,0.0,True
42,1.3733673541336147,0.03595265246177373,0.0,0.0,True
43,1.3652393946022447,0.0367188322972774,1.3889694416787002e-302,2.666821328023104e-302,True
44,1.3664995550419206,0.0394895118799965,2.1910000970556218e-262,3.895111283654439e-262,True
45,1.3679376657032218,0.04171159164620302,6.9056416385012256e-236,1.1430027539588236e-235,True
46,1.3523145079130043,0.041470267877619815,3.0321456272522854e-233,4.851433003603656e-233,True
47,1.3622294850287564,0.043616601277913634,3.9316360855817705e-214,5.897454128372656e-214,True
