layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.509375,0.51875,0.5
1,0.684375,0.6375,0.73125
2,0.725,0.68125,0.76875
3,0.6875,0.675,0.7
4,0.7,0.6875,0.7125
5,0.784375,0.7375,0.83125
6,0.790625,0.78125,0.8
7,0.83125,0.84375,0.81875
8,0.834375,0.81875,0.85
9,0.8125,0.8,0.825
10,0.834375,0.825,0.84375
11,0.840625,0.8375,0.84375
12,0.846875,0.8375,0.85625
13,0.853125,0.81875,0.8875
14,0.853125,0.84375,0.8625
15,0.840625,0.83125,0.85
16,0.84375,0.8375,0.85
17,0.85625,0.83125,0.88125
18,0.84375,0.80625,0.88125
19,0.9,0.9,0.9
20,0.878125,0.88125,0.875
21,0.88125,0.875,0.8875
22,0.91875,0.9125,0.925
23,0.934375,0.93125,0.9375
24,0.94375,0.95,0.9375
25,0.959375,0.96875,0.95
26,0.959375,0.9625,0.95625
27,0.959375,0.95625,0.9625
28,0.953125,0.95,0.95625
29,0.959375,0.9625,0.95625
30,0.95625,0.95625,0.95625
31,0.9625,0.9625,0.9625
32,0.9625,0.9625,0.9625
33,0.965625,0.96875,0.9625
34,0.953125,0.9625,0.94375
35,0.959375,0.95625,0.9625
36,0.95625,0.95,0.9625
37,0.953125,0.94375,0.9625
38,0.95,0.95,0.95
39,0.95,0.95,0.95
40,0.95,0.94375,0.95625
41,0.93125,0.93125,0.93125
42,0.91875,0.925,0.9125
43,0.925,0.93125,0.91875
44,0.915625,0.9125,0.91875
45,0.909375,0.9125,0.90625
46,0.9125,0.9125,0.9125
47,0.909375,0.9125,0.90625
48,0.896875,0.9,0.89375
49,0.90625,0.8875,0.925
50,0.89375,0.86875,0.91875
51,0.896875,0.875,0.91875
52,0.9,0.9,0.9
53,0.921875,0.9,0.94375
54,0.9,0.88125,0.91875
55,0.890625,0.8625,0.91875
56,0.890625,0.85625,0.925
57,0.90625,0.9,0.9125
58,0.890625,0.8625,0.91875
59,0.803125,0.8,0.80625
