layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.6,0.58125,0.61875
1,0.621875,0.625,0.61875
2,0.66875,0.6625,0.675
3,0.646875,0.59375,0.7
4,0.628125,0.58125,0.675
5,0.721875,0.7125,0.73125
6,0.7375,0.73125,0.74375
7,0.8,0.7625,0.8375
8,0.80625,0.775,0.8375
9,0.815625,0.79375,0.8375
10,0.815625,0.7875,0.84375
11,0.80625,0.81875,0.79375
12,0.796875,0.7875,0.80625
13,0.815625,0.8125,0.81875
14,0.86875,0.8625,0.875
15,0.884375,0.8875,0.88125
16,0.88125,0.86875,0.89375
17,0.91875,0.925,0.9125
18,0.9375,0.95,0.925
19,0.946875,0.95,0.94375
20,0.940625,0.95,0.93125
21,0.94375,0.95,0.9375
22,0.915625,0.925,0.90625
23,0.88125,0.8875,0.875
24,0.871875,0.8625,0.88125
25,0.865625,0.8625,0.86875
26,0.85625,0.84375,0.86875
27,0.8625,0.85625,0.86875
28,0.865625,0.85625,0.875
29,0.84375,0.84375,0.84375
30,0.815625,0.8375,0.79375
31,0.8125,0.8375,0.7875
32,0.803125,0.83125,0.775
33,0.8,0.83125,0.76875
34,0.79375,0.7875,0.8
35,0.796875,0.81875,0.775
36,0.8,0.8125,0.7875
37,0.790625,0.8,0.78125
38,0.775,0.775,0.775
39,0.784375,0.7875,0.78125
40,0.784375,0.8,0.76875
41,0.765625,0.78125,0.75
