layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.867525422464086,0.10088902805791748,8.054802728139989e-18,8.674402937996911e-18,True
1,0.8726105566052424,0.11938931068885644,2.6923701234504274e-13,2.792087535430073e-13,True
2,0.769588638360873,0.1138749928983605,1.3972791669612579e-11,1.3972791669612579e-11,True
3,1.0580499124418457,0.07106055321937291,3.8614579198855175e-50,4.32483287027178e-50,True
4,1.1481798557903895,0.06302969426490938,3.818721484972244e-74,4.455175065800951e-74,True
5,1.217716587601961,0.052287184168695086,5.7298205757211094e-120,7.639760767628146e-120,True
6,1.2131918462413616,0.05298338788250241,4.910401047445043e-116,5.977879536020052e-116,True
7,1.2524684710432568,0.05419135769975679,3.5102849004706675e-118,4.4676353278717585e-118,True
8,1.2543162623398718,0.05089805049535543,4.299449766312297e-134,6.019229672837215e-134,True
9,1.2968142845926474,0.040652250387395866,2.6543748962154912e-223,4.371911593766692e-223,True
10,1.3288767011573575,0.03646486084966065,8.989613469205667e-291,1.7979226938411334e-290,True
11,1.3459183994985922,0.03217558529438879,0.0,0.0,True
12,1.3587619127237591,0.02661862379380288,0.0,0.0,True
13,1.3510958427889368,0.029905044650077914,0.0,0.0,True
14,1.3344070174632296,0.02886514720025815,0.0,0.0,True
15,1.3413720280956944,0.027913532217089598,0.0,0.0,True
16,1.3570177412719446,0.0290382714470137,0.0,0.0,True
17,1.3629782749595178,0.029221599340572755,0.0,0.0,True
18,1.365559974503302,0.028253906546214815,0.0,0.0,True
19,1.3672000762623724,0.030238019542105993,0.0,0.0,True
20,1.367819835029487,0.032368557735642754,0.0,0.0,True
21,1.3690749358055891,0.03169377003442351,0.0,0.0,True
22,1.3767555735549049,0.032170475017818737,0.0,0.0,True
23,1.3654665413007105,0.03681704241965711,4.403458366076166e-301,9.484371865394819e-301,True
24,1.3549811677351578,0.041780557146421766,1.0070316855726677e-230,1.7623054497521684e-230,True
25,1.3655071217954458,0.043026280266305686,4.863208343991181e-221,7.564990757319614e-221,True
26,1.384479709110403,0.04203475426075451,6.591988275730361e-238,1.2305044781363342e-237,True
27,1.3786378521024036,0.04965211567087734,1.118702254361076e-169,1.648613848532112e-169,True
