condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,3.70166015625,0.23410818719575432,4.0,0.0,0.0,0.0,0.0,1.0,0.0
incongruent,3.41083984375,0.23727954480824806,3.96875,0.23584119483752183,0.0,0.0125,0.00625,0.98125,0.0
