condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,2.927392578125,0.39590243683704196,2.15,1.6755736837905162,0.66875,0.00625,0.0,0.15625,0.16875
incongruent,2.51513671875,0.47178792134535746,1.40625,1.1885029693593956,0.89375,0.0,0.0,0.01875,0.0875
