layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.553125,0.56875,0.17182817182817184,False
1,0.628125,0.56875,0.001998001998001998,True
2,0.715625,0.56875,0.000999000999000999,True
3,0.796875,0.56875,0.000999000999000999,True
4,0.7875,0.56875,0.000999000999000999,True
5,0.859375,0.56875,0.000999000999000999,True
6,0.9125,0.56875,0.000999000999000999,True
7,0.91875,0.56875,0.000999000999000999,True
8,0.909375,0.56875,0.000999000999000999,True
9,0.896875,0.56875,0.000999000999000999,True
10,0.884375,0.56875,0.000999000999000999,True
11,0.853125,0.56875,0.000999000999000999,True
12,0.840625,0.56875,0.000999000999000999,True
13,0.834375,0.56875,0.000999000999000999,True
14,0.821875,0.56875,0.000999000999000999,True
15,0.809375,0.56875,0.000999000999000999,True
