layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.521875,0.49375,0.55
1,0.715625,0.6875,0.74375
2,0.70625,0.68125,0.73125
3,0.71875,0.69375,0.74375
4,0.696875,0.6625,0.73125
5,0.740625,0.76875,0.7125
6,0.8,0.79375,0.80625
7,0.7875,0.7875,0.7875
8,0.840625,0.85625,0.825
9,0.875,0.88125,0.86875
10,0.875,0.875,0.875
11,0.89375,0.875,0.9125
12,0.88125,0.88125,0.88125
13,0.9,0.89375,0.90625
14,0.9375,0.93125,0.94375
15,0.940625,0.95,0.93125
16,0.94375,0.9375,0.95
17,0.946875,0.95,0.94375
18,0.95625,0.95,0.9625
19,0.9625,0.9625,0.9625
20,0.959375,0.96875,0.95
21,0.95625,0.96875,0.94375
22,0.953125,0.95625,0.95
23,0.9625,0.95625,0.96875
24,0.95,0.9625,0.9375
25,0.959375,0.95625,0.9625
26,0.95625,0.9625,0.95
27,0.9625,0.9625,0.9625
28,0.95,0.94375,0.95625
29,0.946875,0.94375,0.95
30,0.9375,0.9375,0.9375
31,0.94375,0.94375,0.94375
32,0.93125,0.925,0.9375
33,0.934375,0.91875,0.95
34,0.9375,0.9375,0.9375
35,0.91875,0.91875,0.91875
36,0.91875,0.9125,0.925
37,0.915625,0.90625,0.925
38,0.91875,0.91875,0.91875
39,0.921875,0.90625,0.9375
40,0.921875,0.90625,0.9375
41,0.915625,0.90625,0.925
42,0.921875,0.89375,0.95
43,0.9125,0.9,0.925
44,0.91875,0.9,0.9375
45,0.909375,0.8875,0.93125
46,0.9,0.89375,0.90625
47,0.9,0.8875,0.9125
