layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.525,0.5814062499999999,0.7572427572427572,False
1,0.515625,0.5814062499999999,0.9020979020979021,False
2,0.521875,0.5814062499999999,0.8131868131868132,False
3,0.615625,0.5814062499999999,0.003996003996003996,True
4,0.65625,0.5814062499999999,0.000999000999000999,True
5,0.8375,0.5814062499999999,0.000999000999000999,True
6,0.8375,0.5814062499999999,0.000999000999000999,True
7,0.809375,0.5814062499999999,0.000999000999000999,True
8,0.85625,0.5814062499999999,0.000999000999000999,True
9,0.884375,0.5814062499999999,0.000999000999000999,True
10,0.86875,0.5814062499999999,0.000999000999000999,True
11,0.88125,0.5814062499999999,0.000999000999000999,True
12,0.8875,0.5814062499999999,0.000999000999000999,True
13,0.9,0.5814062499999999,0.000999000999000999,True
14,0.915625,0.5814062499999999,0.000999000999000999,True
15,0.934375,0.5814062499999999,0.000999000999000999,True
16,0.9375,0.5814062499999999,0.000999000999000999,True
17,0.95625,0.5814062499999999,0.000999000999000999,True
18,0.940625,0.5814062499999999,0.000999000999000999,True
19,0.9375,0.5814062499999999,0.000999000999000999,True
20,0.91875,0.5814062499999999,0.000999000999000999,True
21,0.91875,0.5814062499999999,0.000999000999000999,True
22,0.925,0.5814062499999999,0.000999000999000999,True
23,0.9125,0.5814062499999999,0.000999000999000999,True
24,0.896875,0.5814062499999999,0.000999000999000999,True
25,0.875,0.5814062499999999,0.000999000999000999,True
26,0.865625,0.5814062499999999,0.000999000999000999,True
27,0.83125,0.5814062499999999,0.000999000999000999,True
