layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.5200057727072085,0.08462100676312484,7.990587028186176e-10,7.990587028186176e-10,True
1,0.5427289614562273,0.08589241382746461,2.637615156077046e-10,2.712975589107819e-10,True
2,1.1042761973697903,0.0541218422204544,1.5559514619191978e-92,1.7504453946590977e-92,True
3,1.0981108614347463,0.06173356969387018,8.769825014671328e-71,9.567081834186904e-71,True
4,1.0915483794985603,0.06585660359346968,1.0632757338138783e-61,1.1258213652146947e-61,True
5,1.2219262676105827,0.04220767064335988,2.7790325554843855e-184,3.3348390665812625e-184,True
6,1.2378099895818768,0.04133967363578533,5.521996680645627e-197,6.854892431146296e-197,True
7,1.238366454105687,0.044184287264261005,7.554133858086796e-173,8.772542544874989e-173,True
8,1.307650334008957,0.040577605091389725,7.653581886684944e-228,9.840319568594928e-228,True
9,1.3406697840404762,0.038379536074683605,2.4392581475739927e-267,3.6588872213609893e-267,True
10,1.327058974948205,0.036906339373298236,3.8670124623168474e-283,6.327838574700295e-283,True
11,1.3186560296791057,0.03799806352480101,7.039071111137568e-264,9.746406153882786e-264,True
12,1.3343313167617203,0.03837844974683331,7.48166832592569e-265,1.0773602389332994e-264,True
13,1.3698966511197455,0.0286990909611957,0.0,0.0,True
14,1.3746454981344065,0.027924776248322524,0.0,0.0,True
15,1.3587316690976454,0.028536507681180608,0.0,0.0,True
16,1.3584904839748382,0.027580982662983727,0.0,0.0,True
17,1.3594376786182312,0.02685901533248895,0.0,0.0,True
18,1.3571792201924011,0.025469243785650592,0.0,0.0,True
19,1.3581654860829726,0.02585997865423433,0.0,0.0,True
20,1.3567057253685695,0.02631290370193699,0.0,0.0,True
21,1.3559390510483165,0.02781275614048233,0.0,0.0,True
22,1.354737022296618,0.026653780862450484,0.0,0.0,True
23,1.3548675154281913,0.027238102967952815,0.0,0.0,True
24,1.3583206095085913,0.027384891626018638,0.0,0.0,True
25,1.3537142025612172,0.029639045387881098,0.0,0.0,True
26,1.3516811781689948,0.030559020319431567,0.0,0.0,True
27,1.3493858936032264,0.03186520724686857,0.0,0.0,True
28,1.3589244696535459,0.0314229073812219,0.0,0.0,True
29,1.366213631235238,0.029051430049104356,0.0,0.0,True
30,1.3762809581583584,0.029236440088638935,0.0,0.0,True
31,1.3710702005088038,0.03119452423930819,0.0,0.0,True
32,1.3929084686952244,0.031981147393279466,0.0,0.0,True
33,1.3866613516151456,0.03416204019080705,0.0,0.0,True
34,1.3823345120124542,0.038592216105065545,5.590418173850279e-281,8.75021975037435e-281,True
35,1.3700409504408328,0.0408387941327998,9.779249758124086e-247,1.303899967749878e-246,True
