condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,4.50546875,0.6161705582781101,4.46875,0.7517014244010323,0.025,0.0,0.00625,0.41875,0.55
incongruent,2.712451171875,1.2699516635390586,2.64375,1.5186342548487441,0.4375,0.025,0.04375,0.44375,0.05
