layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.503125,0.525,0.48125
1,0.50625,0.48125,0.53125
2,0.5125,0.49375,0.53125
3,0.5,0.49375,0.50625
4,0.503125,0.45625,0.55
5,0.503125,0.46875,0.5375
6,0.5,0.4875,0.5125
7,0.503125,0.48125,0.525
8,0.496875,0.48125,0.5125
9,0.5,0.53125,0.46875
10,0.503125,0.50625,0.5
11,0.5,0.49375,0.50625
12,0.578125,0.5625,0.59375
13,0.61875,0.60625,0.63125
14,0.753125,0.71875,0.7875
15,0.7625,0.7125,0.8125
16,0.809375,0.8,0.81875
17,0.83125,0.8375,0.825
18,0.853125,0.8375,0.86875
19,0.88125,0.875,0.8875
20,0.88125,0.9,0.8625
21,0.896875,0.9125,0.88125
22,0.90625,0.90625,0.90625
23,0.925,0.925,0.925
24,0.925,0.91875,0.93125
25,0.95,0.96875,0.93125
26,0.940625,0.94375,0.9375
27,0.95,0.95,0.95
28,0.959375,0.95625,0.9625
29,0.946875,0.94375,0.95
30,0.946875,0.9625,0.93125
31,0.93125,0.95625,0.90625
32,0.925,0.93125,0.91875
33,0.89375,0.9,0.8875
34,0.89375,0.89375,0.89375
35,0.890625,0.8875,0.89375
36,0.8875,0.88125,0.89375
37,0.884375,0.875,0.89375
38,0.86875,0.86875,0.86875
39,0.875,0.8875,0.8625
40,0.86875,0.875,0.8625
41,0.85625,0.85625,0.85625
42,0.859375,0.8625,0.85625
43,0.865625,0.84375,0.8875
44,0.846875,0.83125,0.8625
45,0.853125,0.8375,0.86875
46,0.80625,0.7875,0.825
47,0.76875,0.75,0.7875
