condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,4.65947265625,0.5737649974869244,4.65,0.6060491708469509,0.0,0.00625,0.05,0.23125,0.7125
incongruent,1.742529296875,0.6997732760119193,1.73125,0.7244331985210898,0.375,0.5625,0.03125,0.01875,0.0125
