condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,4.6802734375,0.5307262711043336,4.68125,0.5422046191767493,0.0,0.00625,0.01875,0.2625,0.7125
incongruent,1.78720703125,0.7165904070508992,1.76875,0.7200792671250826,0.35,0.58125,0.01875,0.05,0.0
