layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.515625,0.55625,0.475
1,0.50625,0.50625,0.50625
2,0.55,0.5375,0.5625
3,0.5375,0.48125,0.59375
4,0.528125,0.45625,0.6
5,0.540625,0.45,0.63125
6,0.53125,0.46875,0.59375
7,0.596875,0.5875,0.60625
8,0.6,0.575,0.625
9,0.6125,0.6125,0.6125
10,0.66875,0.6625,0.675
11,0.690625,0.675,0.70625
12,0.728125,0.7,0.75625
13,0.715625,0.68125,0.75
14,0.696875,0.675,0.71875
15,0.78125,0.725,0.8375
16,0.790625,0.7625,0.81875
17,0.80625,0.79375,0.81875
18,0.840625,0.8375,0.84375
19,0.846875,0.85,0.84375
20,0.84375,0.85,0.8375
21,0.84375,0.85,0.8375
22,0.840625,0.84375,0.8375
23,0.84375,0.8375,0.85
24,0.834375,0.84375,0.825
25,0.8625,0.85,0.875
26,0.8625,0.84375,0.88125
27,0.8625,0.85,0.875
28,0.853125,0.8375,0.86875
29,0.85625,0.8375,0.875
30,0.86875,0.85625,0.88125
31,0.86875,0.86875,0.86875
32,0.865625,0.88125,0.85
33,0.86875,0.875,0.8625
34,0.871875,0.88125,0.8625
35,0.8625,0.875,0.85
36,0.86875,0.8875,0.85
37,0.86875,0.8875,0.85
38,0.871875,0.88125,0.8625
39,0.88125,0.90625,0.85625
40,0.88125,0.90625,0.85625
41,0.875,0.89375,0.85625
42,0.890625,0.9,0.88125
43,0.903125,0.9125,0.89375
44,0.9125,0.93125,0.89375
45,0.9375,0.94375,0.93125
46,0.946875,0.95625,0.9375
47,0.95625,0.95625,0.95625
48,0.9625,0.975,0.95
49,0.9625,0.975,0.95
50,0.975,0.98125,0.96875
51,0.975,0.975,0.975
52,0.975,0.975,0.975
53,0.971875,0.98125,0.9625
54,0.971875,0.98125,0.9625
55,0.971875,0.98125,0.9625
56,0.96875,0.975,0.9625
57,0.96875,0.975,0.9625
58,0.9625,0.975,0.95
59,0.9625,0.975,0.95
60,0.965625,0.98125,0.95
61,0.9625,0.96875,0.95625
62,0.9625,0.975,0.95
63,0.965625,0.96875,0.9625
64,0.965625,0.96875,0.9625
65,0.96875,0.96875,0.96875
66,0.965625,0.975,0.95625
67,0.965625,0.975,0.95625
68,0.965625,0.975,0.95625
69,0.959375,0.96875,0.95
70,0.965625,0.9875,0.94375
71,0.959375,0.98125,0.9375
72,0.959375,0.98125,0.9375
73,0.946875,0.96875,0.925
74,0.946875,0.96875,0.925
75,0.940625,0.95625,0.925
76,0.934375,0.95625,0.9125
77,0.928125,0.94375,0.9125
78,0.9125,0.925,0.9
79,0.903125,0.925,0.88125
