layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.546875,0.590625,0.4630738522954092,False
1,0.565625,0.590625,0.2155688622754491,False
2,0.771875,0.590625,0.001996007984031936,True
3,0.759375,0.590625,0.001996007984031936,True
4,0.765625,0.590625,0.001996007984031936,True
5,0.809375,0.590625,0.001996007984031936,True
6,0.834375,0.590625,0.001996007984031936,True
7,0.840625,0.590625,0.001996007984031936,True
8,0.89375,0.590625,0.001996007984031936,True
9,0.89375,0.590625,0.001996007984031936,True
10,0.928125,0.590625,0.001996007984031936,True
11,0.93125,0.590625,0.001996007984031936,True
12,0.940625,0.590625,0.001996007984031936,True
13,0.925,0.590625,0.001996007984031936,True
14,0.928125,0.590625,0.001996007984031936,True
15,0.925,0.590625,0.001996007984031936,True
16,0.921875,0.590625,0.001996007984031936,True
17,0.921875,0.590625,0.001996007984031936,True
18,0.925,0.590625,0.001996007984031936,True
19,0.928125,0.590625,0.001996007984031936,True
20,0.9375,0.590625,0.001996007984031936,True
21,0.953125,0.590625,0.001996007984031936,True
22,0.965625,0.590625,0.001996007984031936,True
23,0.96875,0.590625,0.001996007984031936,True
24,0.971875,0.590625,0.001996007984031936,True
25,0.971875,0.590625,0.001996007984031936,True
26,0.975,0.590625,0.001996007984031936,True
27,0.971875,0.590625,0.001996007984031936,True
28,0.975,0.590625,0.001996007984031936,True
29,0.978125,0.590625,0.001996007984031936,True
30,0.96875,0.590625,0.001996007984031936,True
31,0.965625,0.590625,0.001996007984031936,True
32,0.96875,0.590625,0.001996007984031936,True
33,0.959375,0.590625,0.001996007984031936,True
34,0.96875,0.590625,0.001996007984031936,True
35,0.978125,0.590625,0.001996007984031936,True
36,0.975,0.590625,0.001996007984031936,True
37,0.965625,0.590625,0.001996007984031936,True
38,0.971875,0.590625,0.001996007984031936,True
39,0.975,0.590625,0.001996007984031936,True
40,0.965625,0.590625,0.001996007984031936,True
41,0.959375,0.590625,0.001996007984031936,True
42,0.953125,0.590625,0.001996007984031936,True
43,0.94375,0.590625,0.001996007984031936,True
44,0.946875,0.590625,0.001996007984031936,True
45,0.946875,0.590625,0.001996007984031936,True
46,0.91875,0.590625,0.001996007984031936,True
47,0.921875,0.590625,0.001996007984031936,True
