condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,4.044447103142739,0.4275724771062062,4.04375,0.43936596685472656,0.0,0.00625,0.05625,0.825,0.1125
incongruent,2.099214459955692,0.8094282423100803,2.0,0.8759541069509731,0.33125,0.3875,0.23125,0.05,0.0
