layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.4048310382165481,0.0844710521187704,1.6468154274928648e-06,1.6468154274928648e-06,True
1,0.882066280611409,0.1111438312071218,2.08369905925268e-15,2.1432333180884706e-15,True
2,1.14637356414481,0.056800996038127494,1.4013329508854123e-90,1.4837643009374953e-90,True
3,1.155082481822277,0.054922878617601104,3.414542235675411e-98,3.841360015134838e-98,True
4,1.1453083712199645,0.05472837912896949,3.0315740018842514e-97,3.3071716384191836e-97,True
5,1.2330653903765285,0.04191753227158613,3.382533227139659e-190,4.1990067647250936e-190,True
6,1.2673689575109943,0.04399866199919775,1.872223333607776e-182,2.2466680003293313e-182,True
7,1.23504750675006,0.048283429235333776,2.605276210272712e-144,3.025482050639278e-144,True
8,1.3082225375929168,0.043003681867085,2.882960194478715e-203,3.706663107186919e-203,True
9,1.3218612355704569,0.039458622578200264,4.830422824909416e-246,6.440563766545888e-246,True
10,1.3314533947481704,0.037719195967334966,6.063628355493509e-273,8.395793107606397e-273,True
11,1.3308779997840272,0.03531616454780273,0.0,0.0,True
12,1.3292836781069175,0.03378752510849724,0.0,0.0,True
13,1.3773366498465358,0.028658774695124324,0.0,0.0,True
14,1.3763579020151648,0.02795768275452819,0.0,0.0,True
15,1.3634418244388047,0.02809026831151017,0.0,0.0,True
16,1.3583298279673373,0.02652467005455326,0.0,0.0,True
17,1.3550958269766953,0.0267279855774051,0.0,0.0,True
18,1.3605820213071023,0.02675896229225875,0.0,0.0,True
19,1.3576761944175355,0.02550824596949546,0.0,0.0,True
20,1.3574038813837337,0.02585329647029834,0.0,0.0,True
21,1.353391629264352,0.027093527155813868,0.0,0.0,True
22,1.35689370599317,0.02601065525190469,0.0,0.0,True
23,1.3600564113491385,0.026802477330641273,0.0,0.0,True
24,1.3566992995831249,0.027542392409091558,0.0,0.0,True
25,1.3542102248666712,0.029896441061015796,0.0,0.0,True
26,1.3506830864439885,0.030260699279494426,0.0,0.0,True
27,1.3529678807072962,0.0300283529282852,0.0,0.0,True
28,1.3546514270311774,0.030919216632961957,0.0,0.0,True
29,1.3594023500471177,0.030980748363382868,0.0,0.0,True
30,1.3697405806160308,0.030552933593226965,0.0,0.0,True
31,1.3675918231804776,0.032448566546809755,0.0,0.0,True
32,1.3734535742426226,0.03162757679155173,0.0,0.0,True
33,1.36530712725411,0.031459525916327155,0.0,0.0,True
34,1.3582532242888754,0.030347486780531462,0.0,0.0,True
35,1.3577671405622076,0.03523212790055678,0.0,0.0,True
