layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.784375,0.7625,0.80625
1,0.759375,0.74375,0.775
2,0.78125,0.7625,0.8
3,0.76875,0.75,0.7875
4,0.8,0.78125,0.81875
5,0.8125,0.8125,0.8125
6,0.8375,0.81875,0.85625
7,0.890625,0.89375,0.8875
8,0.878125,0.88125,0.875
9,0.91875,0.89375,0.94375
10,0.915625,0.91875,0.9125
11,0.928125,0.9375,0.91875
12,0.953125,0.95,0.95625
13,0.965625,0.96875,0.9625
14,0.95,0.9625,0.9375
15,0.946875,0.95625,0.9375
16,0.946875,0.95,0.94375
17,0.946875,0.95,0.94375
18,0.934375,0.94375,0.925
19,0.93125,0.94375,0.91875
20,0.9375,0.95,0.925
21,0.93125,0.93125,0.93125
22,0.925,0.91875,0.93125
23,0.903125,0.9,0.90625
24,0.9,0.89375,0.90625
25,0.8875,0.88125,0.89375
26,0.884375,0.86875,0.9
27,0.878125,0.875,0.88125
28,0.871875,0.875,0.86875
29,0.871875,0.8625,0.88125
30,0.875,0.8625,0.8875
31,0.88125,0.875,0.8875
32,0.859375,0.85,0.86875
33,0.853125,0.8625,0.84375
