layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.621875,0.6125,0.63125
1,0.621875,0.61875,0.625
2,0.64375,0.64375,0.64375
3,0.65625,0.65,0.6625
4,0.65,0.6125,0.6875
5,0.665625,0.6625,0.66875
6,0.728125,0.71875,0.7375
7,0.765625,0.7375,0.79375
8,0.790625,0.75,0.83125
9,0.7625,0.73125,0.79375
10,0.821875,0.79375,0.85
11,0.815625,0.80625,0.825
12,0.83125,0.81875,0.84375
13,0.828125,0.81875,0.8375
14,0.834375,0.83125,0.8375
15,0.85,0.85,0.85
16,0.890625,0.925,0.85625
17,0.8875,0.88125,0.89375
18,0.878125,0.8875,0.86875
19,0.89375,0.9125,0.875
20,0.93125,0.93125,0.93125
21,0.95,0.95625,0.94375
22,0.9375,0.9375,0.9375
23,0.94375,0.95,0.9375
24,0.94375,0.95625,0.93125
25,0.96875,0.975,0.9625
26,0.971875,0.96875,0.975
27,0.978125,0.975,0.98125
28,0.96875,0.95625,0.98125
29,0.953125,0.95625,0.95
30,0.953125,0.95,0.95625
31,0.946875,0.95,0.94375
32,0.940625,0.9375,0.94375
33,0.940625,0.9375,0.94375
34,0.925,0.91875,0.93125
35,0.928125,0.9375,0.91875
36,0.9125,0.91875,0.90625
37,0.9125,0.9125,0.9125
38,0.8875,0.90625,0.86875
39,0.89375,0.91875,0.86875
40,0.890625,0.9125,0.86875
41,0.89375,0.9125,0.875
42,0.875,0.9,0.85
43,0.88125,0.9,0.8625
44,0.853125,0.8875,0.81875
45,0.859375,0.88125,0.8375
46,0.846875,0.85625,0.8375
47,0.84375,0.8625,0.825
