seed,max_accuracy
0,0.528125
1,0.553125
2,0.546875
3,0.565625
4,0.540625
5,0.540625
6,0.565625
7,0.521875
8,0.596875
9,0.58125
10,0.553125
11,0.55
12,0.584375
13,0.515625
14,0.54375
15,0.634375
16,0.525
17,0.5375
18,0.55625
19,0.553125
20,0.603125
21,0.515625
22,0.53125
23,0.55
24,0.56875
25,0.5375
26,0.540625
27,0.559375
28,0.56875
29,0.565625
30,0.528125
31,0.540625
32,0.53125
33,0.51875
34,0.5375
35,0.565625
36,0.534375
37,0.5375
38,0.6
39,0.51875
40,0.521875
41,0.534375
42,0.528125
43,0.534375
44,0.55
45,0.609375
46,0.55
47,0.534375
48,0.534375
49,0.525
50,0.5375
51,0.559375
52,0.565625
53,0.540625
54,0.578125
55,0.528125
56,0.58125
57,0.521875
58,0.553125
59,0.503125
60,0.51875
61,0.534375
62,0.5375
63,0.546875
64,0.578125
65,0.5125
66,0.53125
67,0.553125
68,0.578125
69,0.60625
70,0.5375
71,0.546875
72,0.5375
73,0.578125
74,0.575
75,0.534375
76,0.58125
77,0.51875
78,0.55625
79,0.509375
80,0.521875
81,0.521875
82,0.51875
83,0.503125
84,0.51875
85,0.575
86,0.50625
87,0.54375
88,0.50625
89,0.540625
90,0.55625
91,0.56875
92,0.525
93,0.515625
94,0.5375
95,0.5125
96,0.528125
97,0.521875
98,0.521875
99,0.540625
100,0.540625
101,0.55
102,0.53125
103,0.596875
104,0.521875
105,0.546875
106,0.515625
107,0.5625
108,0.5625
109,0.5125
110,0.58125
111,0.5
112,0.50625
113,0.5375
114,0.565625
115,0.534375
116,0.528125
117,0.51875
118,0.515625
119,0.546875
120,0.521875
121,0.53125
122,0.5375
123,0.50625
124,0.559375
125,0.528125
126,0.575
127,0.53125
128,0.53125
129,0.540625
130,0.534375
131,0.528125
132,0.6
133,0.55625
134,0.5375
135,0.53125
136,0.55
137,0.509375
138,0.559375
139,0.559375
140,0.540625
141,0.53125
142,0.5625
143,0.5125
144,0.5375
145,0.553125
146,0.59375
147,0.559375
148,0.5625
149,0.55625
150,0.525
151,0.553125
152,0.56875
153,0.5375
154,0.5125
155,0.5625
156,0.55
157,0.55625
158,0.553125
159,0.540625
160,0.540625
161,0.590625
162,0.5375
163,0.559375
164,0.509375
165,0.540625
166,0.534375
167,0.521875
168,0.5125
169,0.50625
170,0.521875
171,0.553125
172,0.5375
173,0.5375
174,0.571875
175,0.540625
176,0.546875
177,0.525
178,0.515625
179,0.5125
180,0.571875
181,0.534375
182,0.54375
183,0.578125
184,0.553125
185,0.546875
186,0.534375
187,0.51875
188,0.54375
189,0.540625
190,0.55
191,0.5375
192,0.528125
193,0.546875
194,0.55625
195,0.521875
196,0.55625
197,0.54375
198,0.55
199,0.553125
200,0.5875
201,0.546875
202,0.540625
203,0.5375
204,0.55625
205,0.521875
206,0.56875
207,0.528125
208,0.578125
209,0.58125
210,0.503125
211,0.584375
212,0.54375
213,0.534375
214,0.534375
215,0.54375
216,0.55
217,0.55
218,0.565625
219,0.5375
220,0.528125
221,0.53125
222,0.55
223,0.521875
224,0.55625
225,0.534375
226,0.53125
227,0.54375
228,0.53125
229,0.596875
230,0.5625
231,0.5125
232,0.578125
233,0.565625
234,0.540625
235,0.50625
236,0.55
237,0.5375
238,0.525
239,0.509375
240,0.528125
241,0.56875
242,0.540625
243,0.540625
244,0.54375
245,0.540625
246,0.559375
247,0.54375
248,0.51875
249,0.553125
250,0.565625
251,0.503125
252,0.54375
253,0.60625
254,0.521875
255,0.5625
256,0.5125
257,0.55625
258,0.540625
259,0.565625
260,0.553125
261,0.5375
262,0.54375
263,0.584375
264,0.559375
265,0.575
266,0.528125
267,0.53125
268,0.58125
269,0.528125
270,0.565625
271,0.54375
272,0.55625
273,0.596875
274,0.55
275,0.55
276,0.521875
277,0.546875
278,0.546875
279,0.54375
280,0.534375
281,0.515625
282,0.515625
283,0.54375
284,0.559375
285,0.559375
286,0.575
287,0.55
288,0.534375
289,0.61875
290,0.5375
291,0.534375
292,0.534375
293,0.525
294,0.53125
295,0.54375
296,0.546875
297,0.515625
298,0.546875
299,0.5625
300,0.546875
301,0.5
302,0.525
303,0.5875
304,0.559375
305,0.525
306,0.54375
307,0.534375
308,0.5375
309,0.553125
310,0.534375
311,0.58125
312,0.515625
313,0.54375
314,0.534375
315,0.565625
316,0.5375
317,0.56875
318,0.515625
319,0.5875
320,0.571875
321,0.584375
322,0.515625
323,0.553125
324,0.534375
325,0.540625
326,0.55625
327,0.509375
328,0.5375
329,0.525
330,0.54375
331,0.521875
332,0.534375
333,0.55625
334,0.525
335,0.590625
336,0.559375
337,0.528125
338,0.5625
339,0.53125
340,0.534375
341,0.546875
342,0.553125
343,0.58125
344,0.540625
345,0.56875
346,0.5375
347,0.50625
348,0.534375
349,0.578125
350,0.546875
351,0.54375
352,0.540625
353,0.55
354,0.5625
355,0.525
356,0.5125
357,0.521875
358,0.584375
359,0.53125
360,0.521875
361,0.534375
362,0.53125
363,0.540625
364,0.515625
365,0.503125
366,0.5375
367,0.553125
368,0.559375
369,0.575
370,0.55625
371,0.546875
372,0.521875
373,0.5375
374,0.540625
375,0.521875
376,0.546875
377,0.546875
378,0.534375
379,0.546875
380,0.528125
381,0.540625
382,0.55
383,0.521875
384,0.509375
385,0.5625
386,0.553125
387,0.515625
388,0.540625
389,0.53125
390,0.528125
391,0.54375
392,0.575
393,0.596875
394,0.525
395,0.55
396,0.540625
397,0.50625
398,0.5125
399,0.5
400,0.571875
401,0.525
402,0.534375
403,0.559375
404,0.5375
405,0.525
406,0.53125
407,0.596875
408,0.515625
409,0.5375
410,0.525
411,0.5375
