layer_index,all_accuracy,threshold_95,maxstat_p,exceeds_95th_percentile
0,0.515625,0.575,0.8661338661338661,False
1,0.54375,0.575,0.32367632367632365,False
2,0.709375,0.575,0.000999000999000999,True
3,0.69375,0.575,0.000999000999000999,True
4,0.79375,0.575,0.000999000999000999,True
5,0.78125,0.575,0.000999000999000999,True
6,0.7625,0.575,0.000999000999000999,True
7,0.846875,0.575,0.000999000999000999,True
8,0.828125,0.575,0.000999000999000999,True
9,0.875,0.575,0.000999000999000999,True
10,0.853125,0.575,0.000999000999000999,True
11,0.859375,0.575,0.000999000999000999,True
12,0.871875,0.575,0.000999000999000999,True
13,0.884375,0.575,0.000999000999000999,True
14,0.875,0.575,0.000999000999000999,True
15,0.840625,0.575,0.000999000999000999,True
16,0.840625,0.575,0.000999000999000999,True
17,0.8,0.575,0.000999000999000999,True
18,0.821875,0.575,0.000999000999000999,True
19,0.815625,0.575,0.000999000999000999,True
20,0.790625,0.575,0.000999000999000999,True
21,0.759375,0.575,0.000999000999000999,True
22,0.771875,0.575,0.000999000999000999,True
23,0.75,0.575,0.000999000999000999,True
