layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.515625,0.5375,0.49375
1,0.54375,0.5375,0.55
2,0.709375,0.69375,0.725
3,0.69375,0.7,0.6875
4,0.79375,0.79375,0.79375
5,0.78125,0.79375,0.76875
6,0.7625,0.75,0.775
7,0.846875,0.8625,0.83125
8,0.828125,0.83125,0.825
9,0.875,0.89375,0.85625
10,0.853125,0.85625,0.85
11,0.859375,0.875,0.84375
12,0.871875,0.89375,0.85
13,0.884375,0.88125,0.8875
14,0.875,0.88125,0.86875
15,0.840625,0.85,0.83125
16,0.840625,0.86875,0.8125
17,0.8,0.825,0.775
18,0.821875,0.83125,0.8125
19,0.815625,0.825,0.80625
20,0.790625,0.78125,0.8
21,0.759375,0.76875,0.75
22,0.771875,0.79375,0.75
23,0.75,0.7625,0.7375
