layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.64375,0.6375,0.65
1,0.64375,0.65625,0.63125
2,0.625,0.6125,0.6375
3,0.71875,0.68125,0.75625
4,0.725,0.6875,0.7625
5,0.74375,0.7,0.7875
6,0.753125,0.7375,0.76875
7,0.815625,0.81875,0.8125
8,0.81875,0.83125,0.80625
9,0.846875,0.84375,0.85
10,0.88125,0.89375,0.86875
11,0.909375,0.925,0.89375
12,0.928125,0.95,0.90625
13,0.928125,0.95,0.90625
14,0.9375,0.9625,0.9125
15,0.93125,0.95,0.9125
16,0.940625,0.95,0.93125
17,0.940625,0.94375,0.9375
18,0.940625,0.95,0.93125
19,0.896875,0.89375,0.9
20,0.909375,0.8875,0.93125
21,0.896875,0.86875,0.925
22,0.88125,0.86875,0.89375
23,0.86875,0.8625,0.875
24,0.85,0.85625,0.84375
25,0.840625,0.84375,0.8375
26,0.8375,0.84375,0.83125
27,0.821875,0.83125,0.8125
