layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.6,0.5875,0.6125
1,0.565625,0.5625,0.56875
2,0.771875,0.78125,0.7625
3,0.75,0.7625,0.7375
4,0.75,0.75625,0.74375
5,0.809375,0.775,0.84375
6,0.803125,0.76875,0.8375
7,0.81875,0.7875,0.85
8,0.85625,0.86875,0.84375
9,0.85625,0.85625,0.85625
10,0.884375,0.9,0.86875
11,0.878125,0.89375,0.8625
12,0.89375,0.91875,0.86875
13,0.928125,0.93125,0.925
14,0.94375,0.93125,0.95625
15,0.95,0.9625,0.9375
16,0.953125,0.9625,0.94375
17,0.95,0.9625,0.9375
18,0.965625,0.96875,0.9625
19,0.98125,0.975,0.9875
20,0.978125,0.96875,0.9875
21,0.965625,0.95,0.98125
22,0.96875,0.95625,0.98125
23,0.95625,0.95,0.9625
24,0.953125,0.94375,0.9625
25,0.946875,0.93125,0.9625
26,0.94375,0.9375,0.95
27,0.95,0.95,0.95
28,0.93125,0.93125,0.93125
29,0.928125,0.95,0.90625
30,0.909375,0.93125,0.8875
31,0.90625,0.925,0.8875
32,0.909375,0.93125,0.8875
33,0.9,0.91875,0.88125
34,0.875,0.90625,0.84375
35,0.8625,0.89375,0.83125
