layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.590625,0.59375,0.5875
1,0.60625,0.60625,0.60625
2,0.6625,0.6375,0.6875
3,0.721875,0.69375,0.75
4,0.759375,0.7375,0.78125
5,0.784375,0.79375,0.775
6,0.825,0.825,0.825
7,0.8625,0.88125,0.84375
8,0.90625,0.9125,0.9
9,0.909375,0.925,0.89375
10,0.94375,0.95,0.9375
11,0.94375,0.95,0.9375
12,0.953125,0.9625,0.94375
13,0.953125,0.95625,0.95
14,0.965625,0.975,0.95625
15,0.959375,0.96875,0.95
16,0.953125,0.9625,0.94375
17,0.953125,0.9625,0.94375
18,0.95,0.95625,0.94375
19,0.934375,0.94375,0.925
20,0.934375,0.94375,0.925
21,0.946875,0.95,0.94375
22,0.9375,0.9375,0.9375
23,0.934375,0.9375,0.93125
24,0.934375,0.93125,0.9375
25,0.934375,0.9375,0.93125
26,0.921875,0.925,0.91875
27,0.9125,0.91875,0.90625
28,0.90625,0.9125,0.9
29,0.8875,0.89375,0.88125
30,0.884375,0.9,0.86875
31,0.8625,0.89375,0.83125
