condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,4.782861328125,0.7100820307905593,4.8,0.7163850550994286,0.0125,0.03125,0.00625,0.04375,0.90625
incongruent,1.596044921875,0.9246978673550154,1.61875,0.9833320008518847,0.58125,0.33125,0.025,0.0125,0.05
