condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,4.96337890625,0.2344899277641852,4.98125,0.17633141324108273,0.0,0.0,0.00625,0.00625,0.9875
incongruent,1.419921875,0.9600724506029946,1.4125,1.0424179680558976,0.81875,0.075,0.04375,0.0,0.0625
