layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.37751720996593485,0.08212272146592663,4.286411729006932e-06,4.286411729006932e-06,True
1,0.4896470510522467,0.10165250686558275,1.4582661938611409e-06,1.4767252596062185e-06,True
2,0.6133754890101755,0.11673306203219512,1.48415992753674e-07,1.5222153102940924e-07,True
3,0.6655583713503506,0.11227281425907466,3.065612316412307e-09,3.269986470839794e-09,True
4,0.57089960424232,0.09627460865325459,3.031038426757853e-09,3.269986470839794e-09,True
5,0.5870561387631005,0.10740507418196203,4.607877868846602e-08,4.787405578022443e-08,True
6,0.6711761605779301,0.11518683294833919,5.648403308165343e-09,5.945687692805624e-09,True
7,1.009948943473066,0.07018485845034927,5.993366492915564e-47,6.659296103239515e-47,True
8,0.9982256948869814,0.06949335361376187,8.663637910229692e-47,9.494397709840758e-47,True
9,1.1374421782404298,0.06058440602218193,1.2208253593421043e-78,1.3755778696812444e-78,True
10,1.1493230489386854,0.059334402180238915,1.3754984259715218e-83,1.5719982011103107e-83,True
11,1.187115072610242,0.05304650969645451,6.338364254826479e-111,7.348828121537947e-111,True
12,1.2415052344591504,0.05219759774109762,4.8071045458935e-125,5.655417112815883e-125,True
13,1.2538424763517502,0.049982026549523224,7.09424999012444e-139,8.73138460323008e-139,True
14,1.2319142991730563,0.04991131795963692,1.6665908527477457e-134,1.9899592271614873e-134,True
15,1.2699004806272174,0.050736351505431314,2.926644004914921e-138,3.547447278684753e-138,True
16,1.2720219638436985,0.04767951897643816,8.343095693956404e-157,1.0428869617445504e-156,True
17,1.276068475396022,0.0435612393180631,1.2488023244006776e-188,1.5857807293976857e-188,True
18,1.329923530955464,0.03376809307088485,0.0,0.0,True
19,1.332606629835913,0.03362826590818749,0.0,0.0,True
20,1.3270616937857325,0.033716583177818796,0.0,0.0,True
21,1.325127909457624,0.03438499012305916,0.0,0.0,True
22,1.3182467490136323,0.03531065859634768,4.816483752228857e-305,9.632967504457714e-305,True
23,1.3126369177547033,0.036412263613492146,1.4139738349982764e-284,2.3566230583304607e-284,True
