condition,mean_rating,std_rating,mean_top_one_token,std_top_one_token,proportion_top_one_token_1,proportion_top_one_token_2,proportion_top_one_token_3,proportion_top_one_token_4,proportion_top_one_token_5
congruent,4.549951171875,0.8574073819462676,4.5625,0.915880165735355,0.00625,0.06875,0.05,0.10625,0.76875
incongruent,1.260791015625,0.44391242089367905,1.23125,0.47875460816870186,0.7875,0.2,0.00625,0.00625,0.0
