layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.55,0.5125,0.5875
1,0.603125,0.55,0.65625
2,0.7875,0.76875,0.80625
3,0.771875,0.74375,0.8
4,0.775,0.73125,0.81875
5,0.790625,0.7375,0.84375
6,0.821875,0.7875,0.85625
7,0.815625,0.81875,0.8125
8,0.859375,0.875,0.84375
9,0.8625,0.85625,0.86875
10,0.8875,0.8875,0.8875
11,0.884375,0.89375,0.875
12,0.896875,0.925,0.86875
13,0.953125,0.9625,0.94375
14,0.959375,0.9625,0.95625
15,0.95625,0.9625,0.95
16,0.959375,0.95625,0.9625
17,0.953125,0.95625,0.95
18,0.9625,0.96875,0.95625
19,0.9625,0.95625,0.96875
20,0.959375,0.95625,0.9625
21,0.9625,0.95625,0.96875
22,0.959375,0.95,0.96875
23,0.953125,0.95,0.95625
24,0.946875,0.94375,0.95
25,0.94375,0.94375,0.94375
26,0.9375,0.94375,0.93125
27,0.94375,0.94375,0.94375
28,0.9375,0.95625,0.91875
29,0.9125,0.91875,0.90625
30,0.91875,0.91875,0.91875
31,0.903125,0.90625,0.9
32,0.9125,0.9125,0.9125
33,0.91875,0.91875,0.91875
34,0.909375,0.90625,0.9125
35,0.896875,0.88125,0.9125
